1,北海道,1000,240,675,1915
2,青森県,100,196,279,575
3,岩手県,146,183,178,507
4,宮城県,428,347,255,1030
5,秋田県,112,143,182,437
6,山形県,185,141,112,438
7,福島県,454,179,170,803
8,茨城県,644,329,217,1190
9,栃木県,458,224,197,879
10,群馬県,474,121,244,839
11,埼玉県,1233,779,692,2704
12,千葉県,1158,637,600,2395
13,東京都,2862,2437,1683,6982
14,神奈川県,1490,990,1077,3557
15,新潟県,435,179,226,840
16,富山県,135,151,181,467
17,石川県,135,248,103,486
18,福井県,70,152,107,329
19,山梨県,206,81,137,424
20,長野県,459,265,174,898
21,岐阜県,196,348,181,725
22,静岡県,753,495,275,1523
23,愛知県,1069,1591,717,3377
24,三重県,173,393,136,702
25,滋賀県,229,156,154,539
26,京都府,353,333,329,1015
27,大阪府,1273,1362,1175,3810
28,兵庫県,695,530,698,1923
29,奈良県,136,152,138,426
30,和歌山県,86,114,153,353
31,鳥取県,45,71,136,252
32,島根県,60,66,141,267
33,岡山県,320,235,235,790
34,広島県,599,269,301,1169
35,山口県,321,91,127,539
36,徳島県,80,84,135,299
37,香川県,107,120,132,359
38,愛媛県,124,233,212,569
39,高知県,44,104,138,286
40,福岡県,1029,528,529,2086
41,佐賀県,187,73,75,335
42,長崎県,204,155,125,484
43,熊本県,358,200,161,719
44,大分県,181,120,197,498
45,宮崎県,200,129,109,438
46,鹿児島県,206,262,202,670
47,沖縄県,125,328,260,713
