全国地方公共団体コード,都道府県名,市区町村名,代表緯度,代表経度,南海トラフ巨大地震想定震度
01101,北海道,札幌市中央区,43.0642,141.3468,震度1
01102,北海道,札幌市北区,43.0908,141.3408,震度1
01103,北海道,札幌市東区,43.0789,141.3686,震度1
01104,北海道,札幌市白石区,43.0483,141.3975,震度1
01105,北海道,札幌市豊平区,43.0319,141.3789,震度1
01106,北海道,札幌市南区,42.9903,141.3536,震度1
01107,北海道,札幌市西区,43.0750,141.3000,震度1
01108,北海道,札幌市厚別区,43.0225,141.4722,震度1
01109,北海道,札幌市手稲区,43.1256,141.2458,震度1
01110,北海道,札幌市清田区,43.0028,141.4428,震度1
02201,青森県,青森市,40.8244,140.7400,震度2
03201,岩手県,盛岡市,39.7036,141.1527,震度2
04101,宮城県,仙台市青葉区,38.2682,140.8694,震度3
04102,宮城県,仙台市宮城野区,38.2689,140.9103,震度3
04103,宮城県,仙台市若林区,38.2439,140.9083,震度3
04104,宮城県,仙台市太白区,38.2286,140.8711,震度3
04105,宮城県,仙台市泉区,38.3228,140.8806,震度3
05201,秋田県,秋田市,39.7186,140.1024,震度2
06201,山形県,山形市,38.2404,140.3633,震度2
07201,福島県,福島市,37.7608,140.4748,震度3
08201,茨城県,水戸市,36.3418,140.4468,震度4
09201,栃木県,宇都宮市,36.5658,139.8836,震度4
10201,群馬県,前橋市,36.3895,139.0634,震度4
11101,埼玉県,さいたま市西区,35.9189,139.5858,震度5弱
11102,埼玉県,さいたま市北区,35.9322,139.6200,震度5弱
11103,埼玉県,さいたま市大宮区,35.9064,139.6236,震度5弱
11104,埼玉県,さいたま市見沼区,35.9328,139.6583,震度5弱
11105,埼玉県,さいたま市中央区,35.8886,139.6292,震度5弱
11106,埼玉県,さいたま市桜区,35.8561,139.6067,震度5弱
11107,埼玉県,さいたま市浦和区,35.8617,139.6583,震度5弱
11108,埼玉県,さいたま市南区,35.8458,139.6689,震度5弱
11109,埼玉県,さいたま市緑区,35.8753,139.6881,震度5弱
11110,埼玉県,さいたま市岩槻区,35.9500,139.6950,震度5弱
12101,千葉県,千葉市中央区,35.6074,140.1065,震度5強
12102,千葉県,千葉市花見川区,35.6589,140.0758,震度5強
12103,千葉県,千葉市稲毛区,35.6375,140.1028,震度5強
12104,千葉県,千葉市若葉区,35.6239,140.1789,震度5強
12105,千葉県,千葉市緑区,35.5614,140.1878,震度5強
12106,千葉県,千葉市美浜区,35.6372,140.0633,震度5強
13101,東京都,千代田区,35.6940,139.7536,震度5強
13102,東京都,中央区,35.6706,139.7719,震度5強
13103,東京都,港区,35.6581,139.7514,震度5強
13104,東京都,新宿区,35.6938,139.7036,震度5強
13105,東京都,文京区,35.7078,139.7525,震度5強
13106,東京都,台東区,35.7125,139.7800,震度5強
13107,東京都,墨田区,35.7108,139.8108,震度6弱
13108,東京都,江東区,35.6728,139.8175,震度6弱
13109,東京都,品川区,35.6092,139.7303,震度6弱
13110,東京都,目黒区,35.6414,139.6981,震度5強
13111,東京都,大田区,35.5614,139.7161,震度6弱
13112,東京都,世田谷区,35.6464,139.6533,震度5強
13113,東京都,渋谷区,35.6642,139.6981,震度5強
13114,東京都,中野区,35.7075,139.6639,震度5強
