都道府県_観測地点,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,年間合計
北海道（石狩・札幌）,6.8,8.2,12.1,15.3,17.5,15.8,14.2,14.8,15.1,14.6,8.9,5.8,149.5
北海道（渡島・函館）,8.5,9.8,13.5,16.2,17.2,14.5,12.8,14.2,15.8,15.5,10.2,7.1,155.3
北海道（檜山・江差）,4.2,6.1,11.2,15.8,17.8,15.2,13.5,15.8,16.2,15.1,8.2,4.1,143.2
北海道（後志・倶知安）,3.5,5.2,10.1,14.8,17.1,15.2,13.8,14.5,15.0,13.8,6.5,2.8,132.3
北海道（空知・岩見沢）,5.1,6.8,11.2,15.1,17.2,15.5,14.0,14.5,15.2,14.2,7.5,4.2,140.5
北海道（上川・旭川）,6.2,8.1,12.5,15.5,17.1,15.0,13.5,13.8,14.2,13.8,7.1,4.5,141.3
北海道（留萌・留萌）,3.8,5.5,11.5,16.2,18.2,16.1,14.8,16.2,16.1,13.5,6.2,2.9,141.0
北海道（宗谷・稚内）,4.8,7.2,12.8,16.5,17.8,15.8,13.8,15.1,16.8,14.1,6.8,3.5,145.0
北海道（オホーツク・網走）,12.5,13.8,16.2,16.8,17.5,14.2,12.5,13.2,14.5,15.8,12.1,11.5,170.6
北海道（胆振・室蘭）,14.2,13.5,15.2,16.5,17.1,13.2,11.0,12.8,15.2,16.2,13.1,13.5,171.3
北海道（日高・浦河）,17.8,16.2,17.1,16.8,16.5,12.5,10.5,12.1,14.8,17.1,15.2,17.1,183.7
北海道（十勝・帯広）,22.1,19.5,19.2,17.5,17.1,13.2,11.2,12.5,13.8,17.2,18.1,21.5,203.2
北海道（釧路・釧路）,22.8,19.8,19.5,16.8,15.8,11.2,9.8,11.5,13.8,17.5,18.2,21.8,198.5
北海道（根室・根室）,20.5,18.2,18.5,16.1,15.1,11.0,9.2,11.0,13.5,16.8,16.5,19.2,185.6
青森県（青森）,3.2,4.8,10.8,16.5,18.2,15.8,14.1,16.5,15.2,14.8,7.8,3.5,141.2
岩手県（盛岡）,10.5,11.2,15.2,17.2,17.5,13.8,12.2,13.8,12.8,15.2,12.1,9.8,161.1
宮城県（仙台）,16.5,15.2,17.2,17.8,17.6,12.1,11.2,13.5,11.8,15.1,15.4,16.2,179.6
秋田県（秋田）,3.5,5.1,11.2,16.8,18.5,15.8,14.2,17.2,15.1,14.5,7.5,3.8,143.2
山形県（山形）,4.2,5.8,11.5,16.8,18.1,14.5,13.2,16.1,13.5,14.2,8.8,4.5,141.2
福島県（福島）,11.2,11.8,15.5,17.5,17.8,12.8,12.1,14.5,11.8,14.5,13.2,11.5,164.2
茨城県（水戸）,22.1,18.2,17.5,17.1,16.8,11.2,12.5,15.1,11.2,13.8,17.2,21.5,196.2
栃木県（宇都宮）,23.5,19.1,18.2,17.2,16.5,10.8,11.8,13.8,10.8,13.8,18.1,22.8,196.4
群馬県（前橋）,24.2,19.8,19.1,17.8,17.1,11.0,12.1,14.2,11.0,14.8,19.1,23.8,204.0
埼玉県（さいたま）,23.8,19.2,18.1,17.0,16.8,11.1,12.5,14.8,11.2,14.1,18.0,23.1,199.7
