ID,Name JA,Name En,Category JA,States Names,ISO Codes,Region,Latitude,Longitude,Main Image,Main Image Caption EN,UNESCO URL
1,ガラパゴス諸島,Galápagos Islands,自然遺産,Ecuador,EC,Latin America and the Caribbean,-0.68986,-90.501319,https://whc.unesco.org/document/107413,Galápagos Islands (Ecuador),https://whc.unesco.org/en/list/1
2,キト市街,City of Quito,文化遺産,Ecuador,EC,Latin America and the Caribbean,-0.22,-78.51208333,https://whc.unesco.org/document/107444,City of Quito (Ecuador),https://whc.unesco.org/en/list/2
3,アーヘン大聖堂,Aachen Cathedral,文化遺産,Germany,DE,Europe and North America,50.77474685,6.083919968,https://whc.unesco.org/document/107468,Aachen Cathedral (Germany),https://whc.unesco.org/en/list/3
4,ランス・オ・メドー国定史跡,L’Anse aux Meadows National Historic Site,文化遺産,Canada,CA,Europe and North America,51.58472222,-55.55,https://whc.unesco.org/document/107491,L’Anse aux Meadows National Historic Site,https://whc.unesco.org/en/list/4
8,イシュケル国立公園,Ichkeul National Park,自然遺産,Tunisia,TN,Arab States,37.16361,9.67472,https://whc.unesco.org/document/107492,Ichkeul National Park (Tunisia),https://whc.unesco.org/en/list/8
9,シミエン国立公園,Simien National Park,自然遺産,Ethiopia,ET,Africa,13.18333333,38.06666667,https://whc.unesco.org/document/107520,Simien National Park (Ethiopia),https://whc.unesco.org/en/list/9
10,アワッシュ川下流域,Lower Valley of the Awash,文化遺産,Ethiopia,ET,Africa,11.10006,40.57939,https://whc.unesco.org/document/107524,Lower Valley of the Awash,https://whc.unesco.org/en/list/10
12,ティヤ,Tiya,文化遺産,Ethiopia,ET,Africa,8.43491,38.6121,https://whc.unesco.org/document/107525,Tiya,https://whc.unesco.org/en/list/12
13,,Melka Kunture and Balchit: Archaeological and Palaeontological Sites in the Highland Area of Ethiopia,文化遺産,Ethiopia,ET,Africa,8.703472222,38.59908333,https://whc.unesco.org/document/206413,"Gombore IB 1,700.000 years",https://whc.unesco.org/en/list/13
15,アクスム(古代王朝の首都),Aksum,文化遺産,Ethiopia,ET,Africa,14.13019,38.71861,https://whc.unesco.org/document/107526,Aksum (Ethiopia),https://whc.unesco.org/en/list/15
17,オモ川下流域,Lower Valley of the Omo,文化遺産,Ethiopia,ET,Africa,4.8,35.96666667,https://whc.unesco.org/document/107571,Lower Valley of the Omo,https://whc.unesco.org/en/list/17
18,ラリベラの岩窟教会群,"Rock-Hewn Churches, Lalibela",文化遺産,Ethiopia,ET,Africa,12.02935,39.04042,https://whc.unesco.org/document/124924,"Rock-Hewn Churches, Lalibela (Ethiopia)",https://whc.unesco.org/en/list/18
19,ファジル・ゲビ、ゴンダール地域,"Fasil Ghebbi, Gondar Region",文化遺産,Ethiopia,ET,Africa,12.607909,37.4697,https://whc.unesco.org/document/107584,"Fasil Ghebbi, Gondar Region (Ethiopia)",https://whc.unesco.org/en/list/19
20,古都ダマスクス,Ancient City of Damascus,文化遺産,Syrian Arab Republic,SY,Arab States,33.51083333,36.30972222,https://whc.unesco.org/document/107596,Great Mosque of the Umayyads,https://whc.unesco.org/en/list/20
21,古都アレッポ,Ancient City of Aleppo,文化遺産,Syrian Arab Republic,SY,Arab States,36.19916667,37.16277778,https://whc.unesco.org/document/120413,Ancient City of Aleppo (Syrian Arab Republic),https://whc.unesco.org/en/list/21
22,古代都市ボスラ,Ancient City of Bosra,文化遺産,Syrian Arab Republic,SY,Arab States,32.51916667,36.48416667,https://whc.unesco.org/document/107677,Ancient City of Bosra (Syrian Arab Republic),https://whc.unesco.org/en/list/22
23,パルミラの遺跡,Site of Palmyra,文化遺産,Syrian Arab Republic,SY,Arab States,34.55416667,38.26666667,https://whc.unesco.org/document/120400,Site of Palmyra (Syrian Arab Republic),https://whc.unesco.org/en/list/23
24,ナハニ国立公園,Nahanni National Park,自然遺産,Canada,CA,Europe and North America,61.54722222,-125.5894444,https://whc.unesco.org/document/133718,Nahanni National Park,https://whc.unesco.org/en/list/24
25,ジュッジ国立鳥類保護区,Djoudj National Bird Sanctuary,自然遺産,Senegal,SN,Africa,16.414602,-16.237906,https://whc.unesco.org/document/226474,Djoudj National Bird Sanctuary,https://whc.unesco.org/en/list/25
26,ゴレ島,Island of Gorée,文化遺産,Senegal,SN,Africa,14.66722,-17.40083,https://whc.unesco.org/document/120442,Island of Gorée,https://whc.unesco.org/en/list/26
27,メサ・ヴェルデ国立公園,Mesa Verde National Park,文化遺産,United States of America,US,Europe and North America,37.26166667,-108.4855556,https://whc.unesco.org/document/107776,Mesa Verde National Park,https://whc.unesco.org/en/list/27
28,イエローストーン国立公園,Yellowstone National Park,自然遺産,United States of America,US,Europe and North America,44.46056,-110.82778,https://whc.unesco.org/document/125356,Yellowstone National Park (United States of America),https://whc.unesco.org/en/list/28
29,クラクフ歴史地区,Historic Centre of Kraków,文化遺産,Poland,PL,Europe and North America,50.06138889,19.93722222,https://whc.unesco.org/document/120517,Historic Centre of Kraków (Poland),https://whc.unesco.org/en/list/29
30,ワルシャワ歴史地区,Historic Centre of Warsaw,文化遺産,Poland,PL,Europe and North America,52.25,21.013,https://whc.unesco.org/document/123676,Historic Centre of Warsaw,https://whc.unesco.org/en/list/30
31,アウシュヴィッツ強制収容所,Auschwitz Birkenau <br /><small>German Nazi Concentration and Extermination Camp (1940-1945)</small>,文化遺産,Poland,PL,Europe and North America,50.03888889,19.175,https://whc.unesco.org/document/107824,Entrance of Auschwitz I,https://whc.unesco.org/en/list/31
32,ヴィエリチカ岩塩坑,Wieliczka and Bochnia Royal Salt Mines,文化遺産,Poland,PL,Europe and North America,49.97916667,20.06388889,https://whc.unesco.org/document/123690,Wieliczka and Bochnia Royal Salt Mines (Poland),https://whc.unesco.org/en/list/32
33,ベラヴェシュスカヤ・プーシャ/ビャウォヴィエジャの森,Białowieża Forest,自然遺産,"Poland,Belarus","PL, BY",Europe and North America,52.7275,23.98111111,https://whc.unesco.org/document/128360,Belovezhskaya Pushcha / Bialowieza Forest,https://whc.unesco.org/en/list/33
34,ヴォルタ州、グレーター・アクラ州、セントラル州、ウェスタン州の城塞群,"Forts and Castles, Volta, Greater Accra, Central and Western Regions",文化遺産,Ghana,GH,Africa,5.39103,-0.49361,https://whc.unesco.org/document/107842,"Forts and Castles, Volta, Greater Accra, Central and Western Regions (Ghana)",https://whc.unesco.org/en/list/34
35,アシャンティの伝統的建築物群,Asante Traditional Buildings,文化遺産,Ghana,GH,Africa,6.401111111,-1.625833333,https://whc.unesco.org/document/107854,Bâtiments traditionnels ashanti,https://whc.unesco.org/en/list/35
36,チュニス旧市街,Medina of Tunis,文化遺産,Tunisia,TN,Arab States,36.81667,10.16667,https://whc.unesco.org/document/107860,Medina of Tunis,https://whc.unesco.org/en/list/36
37,カルタゴ遺跡,Archaeological Site of Carthage,文化遺産,Tunisia,TN,Arab States,36.85278,10.32333,https://whc.unesco.org/document/107867,Archaeological Site of Carthage (Tunisia),https://whc.unesco.org/en/list/37
38,エル・ジェムの円形闘技場,Amphitheatre of El Jem,文化遺産,Tunisia,TN,Arab States,35.29639,10.70694,https://whc.unesco.org/document/107885,Amphitheatre of El Jem (Tunisia),https://whc.unesco.org/en/list/38
39,ンゴロンゴロ保全地域,Ngorongoro Conservation Area,複合遺産,United Republic of Tanzania,TZ,Africa,-3.18722,35.54083,https://whc.unesco.org/document/197574,Ngorongoro Conservation Area,https://whc.unesco.org/en/list/39
42,ボヤナ教会,Boyana Church,文化遺産,Bulgaria,BG,Europe and North America,42.64516667,23.26552778,https://whc.unesco.org/document/122459,Boyana Church,https://whc.unesco.org/en/list/42
43,マダラの騎士像,Madara Rider,文化遺産,Bulgaria,BG,Europe and North America,43.27741667,27.11894444,https://whc.unesco.org/document/107944,The Madara Rider,https://whc.unesco.org/en/list/43
44,カザンラックのトラキア人の墳墓,Thracian Tomb of Kazanlak,文化遺産,Bulgaria,BG,Europe and North America,42.625774,25.399172,https://whc.unesco.org/document/107947,Thracian Tomb of Kazanlak,https://whc.unesco.org/en/list/44
